Player	Active
Nikolich, Mila	NO
Nnamaka, Chioma	NO
Nolan, Deanna	NO
Novosel, Natalie	NO
Nurse, Kia	YES
Nygaard, Vanessa	NO
O'Hea, Jenna	NO
O'Neill, Jennifer	NO
O'Neill, Kristen	NO
Oga, Yuko	NO
Ogunbowale, Arike	YES
Ogwumike, Chiney	YES
Ogwumike, Nneka	YES
Ohlde, Nicole	NO
Olajuwon, Abi	NO
Orekhova, Inga	NO
Osipova, Irina	NO
Owen, Heather	NO
Owens, Shantia	NO
Page, Danielle	NO
Page, Murriel	NO
Paige, Yolanda	NO
Palie, Sabrina	NO
Palmer, Wendy	NO
Paris, Courtney	YES
Park, JiSu	YES
Parker, Candace	YES
Parker, Cheyenne	YES
Pascalau, Florina	NO
Paschal, Tia	NO
Pavlickova, Michaela	NO
Paye, Kate	NO
Peddy, Shey	YES
Pedersen, Kayla	NO
Penicheiro, Ticha	NO
Penn, Jocelyn	NO
Perazic-Gipe, Jasmina	NO
Perkins, Jia	NO
Perperoglou, Erin	NO
Perrot, Kim	NO
Peters, Devereaux	NO
Peters, Haley	YES
Peterson, Alexis	NO
Petrovic, Sonja	NO
Pettis, Bridget	NO
Phillips, Erin	NO
Phillips, Porsha	NO
Phillips, Ta'Shia	NO
Phillips, Tari	NO
Pierson, Plenette	NO
Plaisance, Theresa	YES
Plum, Kelsey	YES
Pohlen-Mavunga, Jeanette	NO
Pollini, Catarina	NO
Pondexter, Cappie	NO
Poppens, Chelsea	NO
Potthoff, Angie	NO
Powell, Elaine	NO
Powell, Nicole	NO
Powers, Aerial	YES
Prahalis, Samantha	NO
Price, Franthea	NO
Pride, Lynn	NO
Prince, Alexis	YES
Prince, Epiphanny	YES
Queenan, Brooke	NO
Quella, Heather	NO
Quick, LaQuanda	NO
Quigley, Allie	YES
Quinn, Noelle	NO
Quinney, Texlin	NO
Radunovic, Hajdana	NO
Ragland, Felicia	NO
Raincock-Ekunwe, Nayo	YES
Randall, Semeka	NO
Rasmussen, Kristen	NO
Raven, Brittainey	NO
Raymond, Stephanie	NO
Raymond, Tamika	NO
Redd, Jamie	NO
Redmon, Katelan	NO
Reed, Brandy	NO
Reed, Chastity	NO
Reed, Michelle	NO
Reid, Tracy	NO
Reiss, Tammi	NO
Ress, Kathrin	NO
Riley, Andrea	NO
Riley, Ruth	NO
Rizzotti, Jennifer	NO
Roberts, Nyree	NO
Robinson, Angel	NO
Robinson, Ashley	NO
Robinson, Crystal	NO
Robinson, Danielle	YES
Robinson, Renee	NO
Rodgers, Sugar	YES
Roland, Jannon	NO
Rolle, Waltiea	NO
Romero, Leticia	NO
Ross, Adrianne	NO
Ruffin-Pratt, Tierra	YES
Rush, Leah	NO
Russell, Mercedes	YES
Rycraw, Eugenia	NO
Sales, Nykesha	NO
Sam, Sheri	NO
Sampson, Charisse	NO
Samuelson, Karlie	YES
Samuelson, Katie Lou	YES
Sanchez, Isabel	NO
Sanders, Amy	NO
Sanders, LaToya	YES
Sanford, Nakia	NO
Sanni, Olayinka	NO
Santos, Kelly	NO
Santos de Olive, Alessandra	NO
Sarenac, Rankica	NO
Sauer, Paige	NO
Saunders, Jaynetta	NO
Sauret, Audrey	NO
Savasta, Laure	NO
Schimmel, Shoni	NO
Schumacher, Kelly	NO
Schweitzer, Georgia	NO
Scott, Olympia	NO
Scott, Raegan	NO
Shakirova, Elena	NO
Sharp, K.B.	NO
Shegog, Chay	NO
Shepard, Jessica	YES
Shields, Ashley	NO
Shuler, Adrienne	NO
Simmons, Meighan	NO
Simms, Jennie	NO
Simon, Dymond	NO
Sims, Odyssey	YES
Slaise, Madinah	NO
Slaughter, Gwen	NO
Slavtcheva, Gergana	NO
Smith, Aiysha	NO
Smith, Alanna	YES
Smith, Brooke	NO
Smith, Charlotte	NO
Smith, Charmin	NO
Smith, Christy	NO
Smith, Crystal	NO
Smith, Jennifer	NO
Smith, Katie	NO
Smith, Kim	NO
Smith, LaCharlotte	NO
Smith, Tangela	NO
Smith, Tyresa	NO
Smith, Wanisha	NO
Snell, Belinda	NO
Snow, Michelle	NO
Spencer, Sidney	NO
Sporn, Rachael	NO
Stafford-Odom, Trisha	NO
Staley, Dawn	NO
Stansbury, Tiffany	NO
Starbird, Kate	NO
Steding, Katy	NO
Stepanova, Maria	NO
Stephens, Rehema	NO
Stephens, Stacy	NO
Stevens, Azurá	YES
Stevenson, Mandisa	NO
Stewart, Breanna	YES
Stiles, Jackie	NO
Still, Valerie	NO
Stinson, Andrea	NO
Stires, Shanele	NO
Stocks, Tamara	NO
Stokes, Kiah	YES
Streimikyte, Jurgita	NO
Stricklen, Shekinna	YES
Strother, Ann	NO
Suber, Tora	NO
Summerton, Laura	NO
Sutton-Brown, Tammy	NO
Swanier, Ketia	NO
Swoopes, Sheryl	NO
Swords, Carolyn	YES
Sykes, April	NO
Sykes, Brittney	YES
Talbot, Stephanie	YES
Tamane, Zane	NO
Tate, Sonja	NO
Taurasi, Diana	YES
Taylor, Asia	YES
Taylor, Lindsay	NO
Taylor, Penny	NO
Teasley, Nikki	NO
Terry, Kasha	NO
Thomas, Alyssa	YES
Thomas, Carla	NO
Thomas, Christi	NO
Thomas, Jasmine	YES
Thomas, Krystal	NO
Thomas, LaToya	NO
Thomas, Stacey	NO
Thompson, Alicia	NO
Thompson, Amanda	NO
Thompson, Tina	NO
Thorburn, Shona	NO
Thorn, Erin	NO
Thornton, Kayla	YES
Threatt-Elliott, Robin	NO
Tillis, Iciss	NO
Timms, Michele	NO
Ting, Shao	YES
Tinkle, Joslyn	NO
Tokashiki, Ramu	NO
Toler, Penny	NO
Toliver, Kristi	YES
Tolo, Marianna	NO
Tornikidou, Elena	NO
Torres, Levys	NO
Travis, Tiffany	NO
Tremitiere, Chantel	NO
Trice-Hill, Trena	NO
Tuck, Morgan	YES
Turner, Barbara	NO
Turner, Brianna	YES
Turner, Yvonne	YES
Tuter, Molly	NO
Tuvic, Slobodanka	NO
Tzekova, Polina	NO
Udoka, Mfon	NO
Ujhelyi, Petra	NO
Umoh-Coleman, Itoro	NO
Vadeeva, Maria	YES
Valdemoro, Amaya	NO
Van Gorp, Michele	NO
VanEmbricqs, Sandra	NO
Vandersloot, Courtney	YES
Vaughn, Kia	YES
Vaughn, Krystal	NO
Veal, Kristen	NO
Vesela, Jana	NO
Viglione, Danielle	NO
Vilipic, Dalivorka	NO
